window_id,session_id,source_file,start_s,end_s,scheduled_label,quality_status,quality_reason,confidence_status,final_label,sample_count,max_gap_ms,clip_fraction,psd_resp_band,psd_total,snr_resp,variance_filtered,zero_crossings,spectral_entropy,peak_freq_hz,peak_power,pc1_var_explained,activity_log,breathing_activity_threshold
session_20260812_131923_hold_breath_off_hold_breath_off_w00040,session_20260812_131923_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131923_hold_breath_off_hold_breath_off.csv,91.406646,99.406646,hold_breath,accepted,,ambiguous_breathing_evidence,,702,82.848,0.00514156,66.09569887585548,1.3582081801255135,48.66389397662061,47.97500977250793,5,1.2653068225768769,0.375,122.44628294213884,0.8524128794670105,1.8201731990430077,1.2287277092523587
session_20260812_131923_hold_breath_off_hold_breath_off_w00041,session_20260812_131923_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131923_hold_breath_off_hold_breath_off.csv,93.406646,101.406646,hold_breath,accepted,,ambiguous_breathing_evidence,,799,82.848,0.00503559,38.09053251029089,0.8718973460224583,43.686946271844796,33.91435665150027,4,1.4325884878856507,0.375,80.84378083739124,0.8433710932731628,1.5808170441932317,1.2287277092523587
session_20260812_131923_hold_breath_off_hold_breath_off_w00042,session_20260812_131923_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131923_hold_breath_off_hold_breath_off.csv,95.406646,103.406646,hold_breath,accepted,,ambiguous_breathing_evidence,,805,82.848,0.00692935,38.57258809795979,0.946550104271243,40.75070925866772,42.12215262126032,5,1.1932438372965348,0.125,86.98976286751444,0.832575798034668,1.6245105573768643,1.2287277092523587
session_20260812_131923_hold_breath_off_hold_breath_off_w00043,session_20260812_131923_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131923_hold_breath_off_hold_breath_off.csv,97.406646,105.406646,hold_breath,accepted,,ambiguous_breathing_evidence,,812,82.848,0.00543604,27.904204883535613,0.5947221554531714,46.919733236146236,8.782341436899987,4,1.472370690408347,0.375,39.581728488931965,0.8406674861907959,1.4456696520233563,1.2287277092523587
session_20260812_131923_hold_breath_off_hold_breath_off_w00044,session_20260812_131923_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_131923_hold_breath_off_hold_breath_off.csv,99.406646,107.406646,hold_breath,rejected,transition_guard,not_evaluated,,818,,,,,,,,,,,,,
session_20260812_132120_hold_breath_off_hold_breath_off_w00000,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,10.0,18.0,breathing,accepted,,trusted_breathing,breathing,819,48.467,0.00186012,35.94398144666648,0.8687476677255506,41.37447820807308,24.498068956673766,5,1.6373215105505194,0.125,56.806887879214244,0.7535667419433594,1.5556261814137022,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00001,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,12.0,20.0,breathing,accepted,,trusted_breathing,breathing,820,48.467,0.00162919,14.583963947868105,0.3549702070169709,41.08503660176126,24.72364785674753,5,1.6938807379923522,0.375,19.016142279504898,0.7303801774978638,1.279122418140251,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00002,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,14.0,22.0,breathing,accepted,,trusted_breathing,breathing,828,48.467,0.0007737,54.311160706408785,1.6208773138077492,33.50726192767053,81.42888842190561,2,1.019077151062468,0.125,189.47894595993705,0.7221232056617737,1.9107785063201963,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00003,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,16.0,24.0,breathing,accepted,,trusted_breathing,breathing,825,48.467,0.00034091,25.307989390323538,0.5336366278390046,47.42551030045,12.637092058487406,6,1.49837967709269,0.375,38.00228647258687,0.6376762986183167,1.4032576437211846,1.310013221953957
session_20260812_132120_hold_breath_off_hold_breath_off_w00004,session_20260812_132120_hold_breath_off_hold_breath_off,/Users/jandonyggarofalo/Documents/Desa/UNI/Semestre7/embebidos/esp-csi/examples/get-started/csi_send/data/raw/session_20260812_132120_hold_breath_off_hold_breath_off.csv,18.0,26.0,breathing,accepted,,trusted_breathing,breathing,822,39.711,3.802e-05,57.147944152376034,1.4859866178552097,38.45791305632465,72.61829589014405,6,1.466321435382407,0.125,115.96047774654734,0.6186124086380005,1.861046053249551,1.310013221953957
